,minimum,maximum,773differernce,ec773differernce
PAPPT3,0.0,0.0,0.0,-3.2733282750996295e-10
ACONTa,0.6505642652833805,5.816659272824413,5.166095007541033,0.09355072599407777
ACONTb,0.6505642652833805,5.816659272824413,5.166095007541033,0.09355072599407777
AKGDH,5.400979486409191e-05,5.1661490173358935,5.1660950075410295,4.088439085317705
CITL,0.0,29.841599999998646,29.841599999998646,11.63292889695409
CS,0.6505642652833805,35.5178591874972,34.86729492221382,12.266640718667777
FRD2,0.0,33.610128621439046,33.610128621439046,34.204598250630184
FRD3,0.0,33.54517495249022,33.54517495249022,34.928546062859105
FUM,0.0,48.0027869403301,48.0027869403301,0.2617212977717571
ICDHyr,0.6505642652833813,5.816659272824419,5.1660950075410375,4.154693720944454
MDH,0.0,25.405224126496297,25.405224126496297,0.26172129773695474
MDH2,0.0,32.69140215231222,32.69140215231222,28.740281121993007
MDH3,0.0,32.69140215231222,32.69140215231222,28.74028112199302
PYRC,0.0,31.319817885370874,31.319817885370874,7.79209031378024
SUCOAS,0.0,5.1660950075410295,5.1660950075410295,4.017536441930928
2MAHMP,0.0,29.841599999998696,29.841599999998696,0.0867647187417336
ACBIPGT,0.0,0.0,0.0,0.0
ACPS1,0.0,0.0,0.0,0.0
ADCL,0.0,0.0,0.0,0.0
ADCS,0.0,0.0,0.0,0.0
ADOCBIK,0.0,0.0,0.0,0.0
ADOCBLS,0.0,0.0,0.0,0.0
ALATA_D2,0.0,0.0,0.0,0.0
ALATA_L2,0.0,0.0,0.0,0.0
AMAOTr,0.0,0.0,0.0,-4.780886797561834e-11
AMMQLT8,0.0,0.0,0.0,0.0
AMPMS2,0.0,0.0,0.0,0.0
ASP1DC,0.0003166952612101426,2.387644695261104,2.387327999999894,2.7651369175041522
ASPO5,0.001252044118379132,0.0015650551479771016,0.00031301102959796967,0.0002598918964577979
BMOCOS,0.0,0.0,0.0,0.0
BTS4,0.0,0.0,0.0,0.0
BWCOS,0.0,0.0,0.0,0.0
CDPMEK,0.000334650625372636,0.00041831328171579063,8.366265634315466e-05,6.946479313761048e-05
CPMPS,0.0,0.0,0.0,0.0
CPPPGO,0.0,0.18085818181817384,0.18085818181817384,0.03319122737958195
CPPPGO2,0.0,0.0,0.0,0.0
DB4PS,0.0,0.0,0.0,0.0
DBTS,0.0,0.0,0.0,0.0
DHFR,0.0,0.7331633487658621,0.7331633487658621,0.0030021249124843052
DHFS,0.0,0.0,0.0,0.0
DHNCOAS,0.0,0.0,0.0,0.0
DHNCOAT,0.0,0.0,0.0,0.0
DHPPDA2,0.0,0.0,0.0,0.0
DHPS2,0.0,0.0,0.0,0.0
DHPTPE,0.0,0.0,0.0,0.0
DMATT,3.0422784124785093e-05,3.802848015598095e-05,7.605696031195857e-06,3.157490597164508e-05
DMPPS,0.0,0.00041831328171579047,0.00041831328171579047,0.00034448943578096206
DPCOAK,0.0003166952612101426,0.00039586907651227094,7.917381530212836e-05,6.305527925265102e-05
DPR,0.0003166952612101426,0.00039586907651227094,7.917381530212836e-05,6.305527925264354e-05
DXPRIi,0.000334650625372636,0.00041831328171579047,8.36626563431545e-05,6.663026323049895e-05
DXPS,0.000334650625372636,0.00041831328171579047,8.36626563431545e-05,6.663026323049895e-05
FCLT,0.0,0.18085818181817384,0.18085818181817384,0.03319122737958195
FMNAT,0.0,0.0,0.0,0.0
G1SAT,0.0,1.4468654545453907,1.4468654545453907,0.00818261581973212
GDPDPK,0.0,29.841599999998675,29.841599999998675,7.135219149968008
GDPTPDP,0.0,29.841599999998675,29.841599999998675,4.39672050884041
GLUCYS,0.0,0.0,0.0,0.0
GLUTRR,0.0,1.4468654545453905,1.4468654545453905,0.2655298190366556
GLYOD,0.0,0.0,0.0,0.0
GRTT,3.0422784124785093e-05,3.8028480155980964e-05,7.605696031195871e-06,3.157490597164306e-05
GTHOr,0.0,0.0,0.0,-3.4583536034915596e-10
GTHRDHpp,0.0,0.0,0.0,0.0
GTPCI,0.0,0.0,0.0,0.0
GTPDPDP,0.0,14.920799999999337,14.920799999999337,3.1873184305135926
GTPDPK,0.0,29.84159999999867,29.84159999999867,4.39672050884041
HETZK,0.0,0.0,0.0,0.0
HMBS,0.0,0.1808581818179965,0.1808581818179965,0.03319122737958195
HPPK2,0.0,0.0,0.0,0.0
ICHORS,0.0,0.0,0.0,-1.8820500713445654e-11
IPDDI,0.0,3.8028480155973476e-05,3.8028480155973476e-05,0.0
IPDPS,0.0,0.00041831328171570845,0.00041831328171570845,0.0003326412619881451
LIPAMPL,0.0,0.0,0.0,0.0
LIPATPT,0.0,0.0,0.0,0.0
LIPOCT,0.0,0.0,0.0,0.0
LIPOS,0.0,0.0,0.0,0.0
MECDPDH2,0.000334650625372636,0.00041831328171570845,8.366265634307247e-05,5.478208948254292e-05
MECDPS,0.000334650625372636,0.00041831328171570845,8.366265634307247e-05,5.478208948254292e-05
MEPCT,0.000334650625372636,0.00041831328171570845,8.366265634307247e-05,5.478208948254292e-05
MOCOS,0.0,0.0,0.0,0.0
MOHMT,0.0003166952612101426,0.0003958690765125672,7.917381530242462e-05,5.184280809110664e-05
MPTAT,0.0,0.0,0.0,0.0
MPTS,0.0,0.0,0.0,0.0
MPTSS,0.0,0.0,0.0,0.0
MSDHD,0.0,0.0,0.0,0.0
NADDP,0.0,0.0,0.0,0.0
NADK,0.0002454994054254139,29.841845499374845,29.841599999969418,8.396170884230552
NADPPPS,0.0,29.841599999969425,29.841599999969425,8.396170884233435
NADS1,0.0012520441183855474,0.0015650551479777786,0.0003130110295922312,0.0002598918964577979
NNAM,0.0,0.0,0.0,0.0
NNDMBRT,0.0,0.0,0.0,0.0
NNDPR,0.0012520441183855474,0.0015650551479777786,0.0003130110295922312,0.0002598918964577979
NPHS,0.0,0.0,0.0,0.0
OCTDPS,0.0,0.0,0.0,0.0
OCTNLL,0.0,0.0,0.0,0.0
OHPBAT,0.0,0.0,0.0,-1.985300812634705e-12
OMBZLM,0.0,0.0,0.0,0.0
PANTS,0.0003166952612101426,0.00039586907651257674,7.917381530243416e-05,0.0003286886253671135
PMPK,0.0,29.841599999969425,29.841599999969425,0.08676471874173357
PNTK,0.0003166952612101426,0.0003958690765125811,7.91738153024385e-05,6.573772512666857e-05
PPBNGS,0.0,0.7234327272719859,0.7234327272719859,0.13276490951832776
PPCDC,0.0003166952612101426,0.0003958690765125811,7.91738153024385e-05,6.573772512688552e-05
PPGPPDP,0.0,29.841599999969425,29.841599999969425,7.135219149968006
PPNCL2,0.0003166952612101426,0.0003958690765125811,7.91738153024385e-05,6.573772512688547e-05
PPPGO,0.0,0.17762857142838942,0.17762857142838942,0.03319122737958194
PPPGO3,0.0,0.1808581818179965,0.1808581818179965,0.033140180227298824
PTPATi,0.0003166952612101426,0.0003958690765125811,7.91738153024385e-05,6.573772512688547e-05
PY5PSH,0.0001227490833043593,0.00015343635413041739,3.0687270826058085e-05,-1.861575130157611e-15
PYDAMK,0.0,0.0,0.0,0.0
PYDXK,0.0,0.0,0.0,0.0
PYDXNK,0.0,0.0,0.0,0.0
QULNS,0.0012520441183855474,0.0015650551479777786,0.0003130110295922312,0.00025989189646123657
RBFSa,0.0,0.0,0.0,0.0
RBFSb,0.0,0.0,0.0,0.0
RZ5PP,0.0,0.0,0.0,0.0
SEPHCHCS,0.0,0.0,0.0,0.0
SUCBZL,0.0,0.0,0.0,0.0
TDPDSH,0.0,0.0,0.0,0.0
TMPK,0.0,0.0,0.0,0.0
TMPPP,0.0,0.0,0.0,0.0
TRATF,0.0,0.0,0.0,0.0
TYRL,0.0,0.0,0.0,0.0
UDCPDPS,3.0422784124785093e-05,3.80284801559735e-05,7.60569603118841e-06,6.3149811943286885e-06
UPP3MT,0.0,0.0,0.0,0.0
UPP3S,0.0,0.1808581818179965,0.1808581818179965,0.033191227379584624
UPPDC1,0.0,0.1808581818179965,0.1808581818179965,0.033191227379584624
WCOS,0.0,0.0,0.0,0.0
NAMNPP,0.0,0.0,0.0,0.0
RBFK,0.0,0.0,0.0,-3.801847725526386e-12
ADSK,0.0,2.3231230627264328,2.3231230627264328,1.1233865170462114
AMPTASECG,0.0,0.0,0.0,0.0
BPNT,0.0,2.3231230627264328,2.3231230627264328,1.1233865170462114
CYSS,0.061125955199591735,1.4173295516807143,1.3562035964811225,1.406510867971837
MCPST,0.0,0.0,0.0,0.0
PAPSR,0.0,2.3231230627264323,2.3231230627264323,1.1233865170462125
PAPSR2,0.0,0.0,0.0,0.0
SADT2,0.061125955199591735,2.4450717799299198,2.3839458247303282,2.601978700519162
SERAT,0.061125955199591735,1.698315179074539,1.6371892238749473,-3.410605131648481e-13
SULRi,0.061125955199591735,2.4450717799299184,2.383945824730327,2.601978700519162
EX_26dap__M_e,0.0,1.0290206896541167,1.0290206896541167,1.7275352062145186
EX_3amp_e,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0
EX_3ump_e,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,1.6578666666649662,1.6578666666649662,2.7832511655678362
EX_ac_e,0.0,4.426177814387866,4.426177814387866,6.399485451786195
EX_acald_e,0.0,3.226118918915608,3.226118918915608,5.416056322186214
EX_acgam_e,0.0,0.0,0.0,0.0
EX_acgam1p_e,0.0,0.8776941176461587,0.8776941176461587,1.1789193850758284
EX_acmana_e,0.0,0.0,0.0,0.0
EX_acser_e,0.0,1.6351561643818853,1.6351561643818853,2.591109763692839
EX_ade_e,0.0,1.4633616028172949,1.4633616028172949,0.6601507560212413
EX_adn_e,0.0,0.7381558527485476,0.7381558527485476,0.6321051651325952
EX_akg_e,0.0,1.8650999999980866,1.8650999999980866,3.1027633861391415
EX_ala_L_e,0.0,2.594921739127771,2.594921739127771,4.356393128715143
EX_alaala_e,0.0,1.2433999999987235,1.2433999999987235,2.019379328792107
EX_ala_B_e,0.0,2.387327999997551,2.387327999997551,2.7651369175041705
EX_ala__D_e,0.0,2.5949217391277712,2.5949217391277712,4.356393128715555
EX_amp_e,0.0,0.7295476212296145,0.7295476212296145,0.6301443170225599
EX_arg_L_e,0.0,1.1477538461526682,1.1477538461526682,0.743387095309262
EX_asn_L_e,0.0,2.2104888888866174,2.2104888888866174,3.5662609649019936
EX_asp_L_e,0.0,0.0,0.0,0.0
EX_ca2_e,0.0,0.0,0.0,0.0
EX_cgly_e,0.0,0.0,0.0,0.0
EX_cit_e,0.0,1.6130594594578025,1.6130594594578025,2.708028161092916
EX_cmp_e,0.0,0.0,0.0,0.0
EX_co2_e,8.469369959856028,18.147726716606442,9.678356756750414,-1.0345502232667059e-11
EX_cobalt2_e,0.0,0.0,0.0,0.0
EX_cu_e,0.0,0.0,0.0,0.0
EX_cu2_e,0.0,0.0,0.0,0.0
EX_cyan_e,0.0,0.0,0.0,0.0
EX_cys_L_e,0.0,1.3411955056166016,1.3411955056166016,1.3448973439651053
EX_cytd_e,0.0,0.8120163265305109,0.8120163265305109,0.7056762511111966
EX_dad_2_e,0.0,0.7009379105941643,0.7009379105941643,0.40094425336512723
EX_damp_e,0.0,0.6970329640170382,0.6970329640170382,0.4012398752682443
EX_dcmp_e,0.0,0.7602955414011306,0.7602955414011306,0.41689668276632413
EX_dcyt_e,0.0,0.7651692307690866,0.7651692307690866,0.4165491889105972
EX_dgmp_e,0.0,0.7129197552197056,0.7129197552197056,0.3874971697135986
EX_dgsn_e,0.0,0.7170052552496178,0.7170052552496178,0.38722144451128404
EX_dha_e,0.0,0.0,0.0,0.0
EX_dimp_e,0.0,0.0,0.0,0.0
EX_din_e,0.0,0.0,0.0,0.0
EX_dms_e,0.0,0.0,0.0,0.0
EX_dmso_e,0.0,0.0,0.0,0.0
EX_dtmp_e,0.0,0.7211378503807401,0.7211378503807401,0.5875488366798802
EX_dump_e,0.0,0.8065297297295779,0.8065297297295779,0.6466424628922033
EX_duri_e,0.0,0.8120163265304586,0.8120163265304586,0.6458067740268907
EX_etha_e,0.0,0.0,0.0,0.0
EX_etoh_e,0.0,2.7128727272722184,2.7128727272722184,4.554410998201703
EX_f6p_e,0.0,1.1818455445542315,1.1818455445542315,1.9840998408007533
EX_fe2_e,0.0,0.0,0.0,0.0
EX_fe3_e,0.0,0.0,0.0,0.0
EX_for_e,0.0,0.0,0.0,0.0
EX_fru_e,0.0,0.0,0.0,0.0
EX_fruur_e,0.0,0.0,0.0,0.0
EX_fum_e,0.0,2.3873279999995534,2.3873279999995534,4.007881678417511
EX_g1p_e,0.0,1.1818455445542315,1.1818455445542315,1.9840998408007497
EX_g3pe_e,0.0,0.0,0.0,0.0
EX_g3pg_e,0.0,0.0,0.0,0.0
EX_g3pi_e,0.0,0.0,0.0,0.0
EX_g3ps_e,0.0,0.0,0.0,0.0
