id,ec773differernce
APG,-1.1368683772161603e-13
EX_ca2_e,0.0
EX_cl,0.0
CDPDAG,-1.1368683772161603e-13
GLUR,0.0
HCO3E,0.00026251883446093416
EX_mg2_e,0.0
G3PD2,1.1368683772161603e-13
UDPG4E,0.0
SERAT,0.0
EX_so4_e,-1.1368683772161603e-13
IMPC,1.1368683772161603e-13
AGPR,0.0
T2DECAI,-1.1368683772161603e-13
EX_pi_e,-1.1368683772161603e-13
RPI,-0.2355416808627524
EX_k_e,0.0
TPI,0.42234086093549195
EX_nh4_e,-1.0231815394945443e-12
O2tpp,-1.0231815394945443e-12
EX_o2_e,3.410605131648481e-13
EX_co2_e,-7.958078640513122e-12
EX_h2o_e,-1.9326762412674725e-12
H2Otpp,-2.2737367544323206e-13
UREAtpp,2.423803380224854e-10
MTHFC,-2.3669599613640457e-10
OCBT,8.161578080034815e-10
PGI,2.5641148530415876
G6PDH2r,2.8971590948939365
LDH_D,-2.418130407022545e-08
PGK,3.4820307686829324
ARAI,1.9815615814877674e-10
DGK1,-0.003932757758434491
GK1,-5.309175321599469e-10
PTAr,3.1810590238024474
ALCD2x,-1.0703615771490149e-10
ARGSL,1.971613983187126e-10
ORPT,-9.331216688224231e-09
ACKr,-3.181059044201703
PAPPT3,2.1672974526154576e-10
PRAGSr,-6.452324896599748e-09
GTHOr,2.2612312022829428e-10
SHK3Dr,0.11063894042595734
TALA,0.8796377892639384
TKT2,0.7689988428626009
CYTK1,0.01399155674708652
CYTK2,-0.0039327573718139774
ALAR,-1.4706813544762554e-10
NDPK1,0.7635745890302417
NDPK3,0.010058799538398944
NDPK8,-1.255529014088097e-10
NDPK6,-1.2452971986931516e-10
NDPK7,-1.2508394320320804e-10
NDPK5,-1.255529014088097e-10
NDPK4,-1.255529014088097e-10
NDPK2,-1.255244796993793e-10
DHFR,0.0033773909604803976
GALUi,0.03764496681945673
MAN1PG,8.22950596557348e-11
PGMT,6.997424861765467e-11
ASAD,-0.06931521448067457
ADSL2r,-3.259572167735314e-09
ADSL1r,-3.2595792731626716e-09
MDH,0.2944364602601084
3OAR180,4.8679282826924464e-11
3OAR120,4.8629544835421257e-11
3OAR140,4.8629544835421257e-11
3OAR160,4.8629544835421257e-11
3OAR100,4.856559598920285e-11
3OAR40,4.856559598920285e-11
3OAR60,4.856559598920285e-11
3OAR80,4.856559598920285e-11
ADK1,0.5174094644356373
Biotintpp,48.26985886684325
BALAt2pp,48.26985784045531
CITt3pp,48.26985784045088
Biotint3pp,48.26985784044666
DURIt2pp,48.26985784044283
GUAt2pp,48.269857840426006
GSNt2pp,48.269857840420364
HOMt2pp,48.26985784025889
ZN2tpp,48.14650035267594
ZN2t3pp,48.14554477661648
NAt3pp,48.110559788795555
GLYC3Pt6pp,48.06845334883372
CA2t3pp,48.054600193556645
DALAt2pp,48.046888472907625
XANt2pp,48.038896461650154
PROt3pp,48.010648953827186
PROt4pp,48.01064895382717
ABUTt2pp,47.9963558430595
CUt3,47.916303643441196
NO3t7pp,47.82459882796742
ACONTb,0.10524456696725792
ACONTa,0.10524456696725792
DHORTS,-2.6193589519607485e-09
FUM,0.2944364602368523
ASPTA,-1.0658141036401503e-12
ADK2,-0.003377390864955032
ENO,4.271200433604037
MI2DH,-5.466205266202451e-10
MTHFD,3.33244543071487e-11
MALGT,4.411759846334462e-11
CYTBO3_4pp,28.53016147944528
SUCDi,28.53016147943046
DAPE,1.3596235248769517e-11
FRD3,28.33001769775515
GUI1,1.0754064305729116e-11
FRD2,27.09236208756967
ALATA_L,0.12949951304916496
Kt2pp,24.525188811766522
NAt3_2pp,24.12338028969127
FUMt2_2pp,24.080722474302735
SUCCt2_2pp,24.076248364041458
CITt7pp,24.07624836403725
LYSt3pp,24.073404573447448
PTRCt2pp,24.073404573443554
ARGt3pp,24.07340457344192
F6Pt6_2pp,24.03422667441858
GAM6Pt6_2pp,24.034226674417486
G6Pt6_2pp,24.034226674417095
Kt3pp,23.978096387961582
NADH9,22.91229169167204
NADH5,22.505940037398645
CYTBDpp,21.883892238671198
LDH_D2,21.846696412463608
UMPK,-5.6772364587232005e-12
MDH3,21.699409068311965
MDH2,21.699409068311944
CYTBD2pp,21.50749832241746
NADH17pp,20.574739336285084
NADH18pp,20.574739336285084
NADH16pp,20.574739336285084
AIRC3,-1.199772725613002e-09
LDH,19.164911136466184
L_LACD3,19.1649111364405
L_LACD2,19.1649111364405
G3PD7,18.397932516998733
G3PD6,18.397932516998704
NADPHQR2,18.181050579855988
NADPHQR3,18.181050579855988
NADPHQR4,18.181050579855988
HSDy,-0.06931521449907407
GLCS1,16.237959549731464
GLGC,16.237959549731464
GLCP,16.237959549731464
SUCCt3pp,16.089952613486386
FUMt2_3pp,16.0899526134743
NAt3_1p5pp,16.08481906996915
SUCCt2_3pp,16.06385121237629
GLCP2,15.351434475675898
GLBRAN2,15.351434475675898
AMAOTr,3.125855130292621e-11
GLUDy,14.127216689876999
NNATr,-2.1943336037111294e-11
SDPTA,6.012967901369848e-12
GND,12.248897763959441
PGL,12.248897763959441
FBA,3.6473576937661107
PMANM,-4.8618886694384855e-12
ASPT,11.326739153192909
ATPS4rpp,5.776128191226165
MCITL2,-4.551026222543442e-12
G3PD5,10.814466917896143
NADH10,10.594104488892512
ILETA,3.290523409305024e-11
LEUTAi,7.100098287082801e-12
PYK,9.59351117001303
GAPD,4.994973018142176
CO2tpp,8.719792633888636
GHMT2r,8.022027486731531e-12
PDH,8.311894101935557
BTNC,8.02109498492134
EX_h_e,7.6646178631575275
POX,7.62164984566238
HISabcpp,7.212431267524473
TYRRRpp,7.212431267516555
ASNabcpp,7.212431267513693
CRNDabcpp,7.212431267513326
CRNabcpp,7.212431267513326
GLNabcpp,7.2124312675093565
TRPabcpp,7.204980142796935
CTBTabcpp,7.2042237144307375
LYSabcpp,7.200534558481509
METabcpp,7.198138649849392
PIuabcpp,7.185766730241622
PRMICI,-1.9886314817085804e-12
CS,6.64719815854564
PYRC,4.631554002951949
NTP1,6.5200211116017535
ATPM,6.520021111600768
Biotinabcpp,6.52002111160039
ALAALAabcpp,6.520021111599702
CGLYabcpp,6.5200211115978455
CYSabcpp,6.520021111597838
CYStpp,6.520021111597838
DAPabcpp,6.5200211115975435
GTHRDabcpp,6.520021111594662
MACPD,6.520021111592737
ALAabcpp,6.515847620899845
ZN2abcpp,6.510378919356415
FE3abcpp,6.508209399622464
GLUabcpp,6.506127269016193
GLYK,6.501384740167483
G3PT,6.50130256442466
GLYC3Pabcpp,6.500713469063294
G3PGabcpp,6.500713469062931
G3PIabcpp,6.500713469062931
G3PEabcpp,6.500713469062917
G3PSabcpp,6.500713469062534
GTHRDabc2pp,6.497819784467585
PPA,6.401831639982983
GLNS,6.294526508054049
NTP5,6.253294451794819
NTP3,6.253294451794796
NTPP6,6.250814474647988
NTP10,6.248336463776202
ASNS2,6.240517674181499
HEX1,6.239132493848309
APH140,6.23768236848859
ACPPAT140,6.23768236848859
AACPS1,6.237682368481082
LPLIPAL1A180pp,6.222209968776089
G3PAT180,6.222209968775798
AACPS6,6.222209968746338
GLCabcpp,6.217000000000265
GLCptspp,6.216999999999976
NTPP1,6.1934247140591605
NTPP2,6.19334931390776
ASNN,6.148849138645893
NTPP3,6.038437193221585
NTPP4,6.038166601259008
PPS,6.01802017418783
Kabcpp,5.976662169386131
CITL,5.934272359117874
ICHORS,1.2306600183364935e-11
BIOTIN_t,5.867728568973876
SERabcpp,5.867728459362455
SERt3pp,5.867728459362455
THRt2pp,5.867728459362313
THRabcpp,5.867728459362313
ARGabcpp,5.867728459361478
ZNabcpp,5.865549747036703
ORNabcpp,5.863214504443759
PROabcpp,5.862151648791675
ARBabcpp,5.858449083741406
ARBt3ipp,5.858449083741406
SPMDt3pp,5.8565346137902825
SPMDabcpp,5.8565346137902825
GLUN,5.8556223187408545
NTD9,5.806250157933839
NTD1,5.8062501579258265
GSNK,5.806250157925821
DURIK1,5.806250157925816
NTD7,5.804344723393645
ADNK1,5.804344723385628
NTPP5,5.788980238989624
NTD4,5.593774471403311
CYTDK2,5.593774471395585
NTPP8,5.4689648159039645
EX_ac_e,5.363830784374424
TRE6PS,5.3097553704414535
TRE6p,5.3097553704414535
MG2uabcpp,5.298317170543384
ACALD,-3.134656978431849e-10
UDPGPpp,5.222031202910043
ME2,5.150216354581946
OAADC,5.06192174859583
PPCK,4.9912608545358195
2METS,5.861977570020827e-14
ACCOAC,4.91626895198851
PFK,4.789550058096731
ME1,4.660456707523441
G1PTT,8.22275580958376e-12
NADK,4.198085442123283
NADPPPS,4.198085442121538
PRPPS,-9.201528428093297e-13
TRE6PP,4.088986745171647
TREptsp,4.088986745171468
EX_pyr_e,4.0767390381362025
EX_acald_e,3.7032447665087904
GDPDPK,3.567609574990767
PPGPPDP,3.567609574990766
ASPK,0.06931521450903233
EX_lac_L_e,3.428166918432716
EX_lac_D_e,3.4281669184327144
EX_ala_L_e,3.279116182848576
EX_ala__D_e,3.279116182848575
CYSabc2pp,3.260010555798919
NTPTP2,3.145472515678346
PPA2,3.145472515675213
NTPP7,3.1049280029023616
DTMPK,0.021419559875659022
URIDK2r,-0.0033773908018042142
XYLI1,3.862687947275845e-12
EX_etoh_e,2.9889158868036194
DUTPDP,2.9244808374905125
PSCVT,-1.2860823517257813e-12
GLUSy,2.8004775366720045
UAGDP,2.777590797611537
UACGAMPpp,2.7775907976092955
AKGDH,2.708082276968262
ICDHyr,2.7080822769679695
SUCOAS,2.602837710083579
EX_glyald_e,2.5988164758700423
FA140ACPHi,2.513531832650455
FA161ACPHi,2.5135318326504548
FA160ACPHi,2.5135318326504548
FA141ACPHi,2.5135318326504548
FA120ACPHi,2.5135318326504548
AACPS4,2.5135318326486034
AACPS3,2.5135318326486034
AACPS7,2.5135318326486034
AACPS2,2.5135318326486034
GF6PTA,2.488810874227152
G6PDA,2.488810874224276
EX_fum_e,2.411110069823155
ADSS,2.3265224343059763
NTPP9,2.3232594711709513
ATPHs,2.323259471167742
EX_succ_e,2.3133421276626787
MALt3pp,2.28654845063968
EX_mal__L_e,2.286548450639433
AICART,0.02732275946355367
AMPN,2.2500838736220743
ADPT,2.2445841025505193
EX_glyc_e,2.234368922215545
GDPTPDP,2.1983602544243728
GTPDPK,2.1983602544243723
EX_glyc3p_e,2.1353247764052226
GART,1.9837657663295594
FTHFD,1.9837657663294868
GMPS2,1.958285741681884
NTPP11,1.9582857416814325
GTPHs,1.958285741678732
PSERT,1.918118006964887
PSP_L,1.918118006964887
PGCD,1.918118006964887
EX_akg_e,1.909413240840033
GARFT,-0.5023654993905722
EX_cit_e,1.8826360490172669
PHETA1,0.060717190436454516
TYRTA,0.036762160848760495
SERD_L,1.8488027924576556
GLUDC,1.845274941352335
EX_asn_L_e,1.8116730890635802
SSALy,1.7388821272801143
ABTA,1.7388821272789927
EX_4abut_e,1.729428407399983
EX_ser_L_e,1.678998421987801
EX_glu_L_e,1.6697736590107435
P5CD,1.6066155597120075
G5SD,1.6066155597120075
GLU5K,1.6066155597120075
G5SADs,1.6066155597120075
GTPDPDP,1.593659215258626
NTD11,1.5400624468331945
MM_COA_ADD5,1.9320101074526974e-12
RBK,1.5256067133074778
INSH,1.5256067133062705
HXPRT,1.4989290872043182
EX_g6p_e,1.4893812284020156
EX_f6p_e,1.4891168000477928
EX_g1p_e,1.4861706468078488
GSNHYDRO,1.4649539020723998
GUAPRT,1.4649539020715674
ADNUC,1.4236159043152428
SO3TRDRD,1.416884053648907
KARA1,-0.040881399753337266
VPAMT,1.3852046411699863
ASP1DC,1.3825684587546705
EX_ala_B_e,1.3825684587540386
EX_acser_e,1.3723820540449714
EX_gln_L_e,1.3679742629548917
SULRi,1.3597873181261018
SADT2,1.3597873181261018
SULabcpp,1.35978731812517
TRDR,1.3597873181251239
ALDD2x,1.3551574984586467
VALTA,1.3521622603307555
KARA2,4.143796417110934e-12
ICL,1.3227677421852198
MALS,1.3227677421852198
EX_h2s_e,1.290472103619242
EX_hom__L_e,1.283634046633044
UDPGD,1.2775978254556954
EX_glcur1p_e,1.2775978254554725
UGLCURPpp,1.2775978254548133
DHAD1,1.255705128075616
ACLS,1.255705128075616
EX_val_L_e,1.255705128074729
RBFK,-1.638689184346731e-12
EX_gal1p_e,1.2237287982060943
UDPGALPpp,1.223728798205466
EX_pro_L_e,1.1712208079073778
P5CR,1.1712208079064315
DAPDH,1.134616184396306
DAPDC,1.1139991426405094
ACODA,1.0801967372009795
ACGS,1.0801967372009795
ALAALAr,0.14016918591298144
EX_gam6p_e,1.048395699964374
EX_alaala_e,1.0260549712075746
DHDPS,1.0255323899205084
DHDPRy,1.0255323899205084
EX_lys_L_e,1.0255323899200048
EX_26dap__M_e,1.0217093433258557
IPPMIb,3.093081346605686e-12
IPPMIa,3.093081346605686e-12
HSK,0.9545911312281681
THRS,0.9545911312281679
EX_thr_L_e,0.9545911312276989
ASNS1,0.9315747558676495
FBP,0.8893279958619026
SDPDS,0.8779605512933676
THDPS,0.877960551292702
DHORD5,0.8399074318810389
DHORD2,0.8375622796329251
PGAMT,1.5549783682899943e-12
ASPCT,0.7792352927683148
OMPDC,0.7792352927682309
NTD2,0.7512846109167629
EX_uri_e,0.7512846109166096
CYSS,0.741793929514811
THRD_L,0.6777913279969585
EX_cys_L_e,0.6724787150072566
OHPBAT,1.2989609388114332e-12
G1PACT,0.5988115699731558
EX_acgam1p_e,0.598811569972929
ADSK,0.5901138105734638
BPNT,0.5901138105734638
PAPSR,0.5901138105734616
DHAD2,0.5883747752682837
EX_ile_L_e,0.5883747752671786
ACHBS,0.5883747752652577
OMCDC,0.5144128861183184
IPPS,0.5144128861183184
IPMD,0.5144128861183184
EX_leu_L_e,0.5144128861166796
SHSL1,0.4513743919224003
HSST_2,0.4513743919221469
EX_orn_e,0.4411831236176956
ACGK,0.441183123617428
ACOTA,-0.10730140821916606
CBPS,0.41754619327809905
MTHFR2,0.41544503954489254
EX_met_L_e,0.4154450395446275
CYSTL,0.41544503954453454
METS,0.4154450395445341
IMPD,0.39150206687284855
AIRC2,0.3791506271312901
GLUPRT,0.3791506271312858
PRAIS,0.3791506271312857
PRASCSi,0.3791506271312857
PRFGS,0.3791506271312857
EX_ins_e,0.37864089804983947
RNDR4,0.3779252609427208
HSST,0.37217285370595443
EX_arg_L_e,0.3716935476551641
ARGSS,0.3716935476548843
NTD10,0.3647689934427205
EX_xtsn_e,0.36476899344253655
EX_ade_e,0.3637964134684353
EX_hxan_e,0.3637733276889948
CTPS2,0.3581010177997537
EX_cytd_e,0.3528951685562461
XTSNH,0.35052859102071293
EX_xan_e,0.3505285910206433
EX_adn_e,0.34834102651957316
EX_amp_e,0.34726044075438556
HSTPT,0.34616724020809775
TMDS,0.32810351804033244
EX_gmp_e,0.32747174315691746
EX_gsn_e,0.3271145468749603
NTD5,0.3247261272393368
EX_thymd_e,0.3247261272391722
EX_dtmp_e,0.32378688893718377
EX_dump_e,0.3233212314465628
EX_duri_e,0.32290338701390586
EX_gua_e,0.3168829174489183
IGPDH,0.3143851118137234
PRAMPC,0.3143851118137234
HISTP,0.3143851118137234
HISTD,0.3143851118137234
PRATPP,0.3143851118137234
ATPPRT,0.3143851118137234
IG3PS,0.3143851118137234
EX_his_L_e,0.314385111813511
EX_gly_e,0.31185250709515944
RNDR3,0.241283797348525
DCTPD,0.23593580646733314
KAS15,0.22193007414553814
3OAS80,0.22193007414543053
EAR40x,0.22193007414528193
EAR80x,0.22193007414528165
EAR60x,0.22193007414528165
EAR40y,0.22181640455264237
EAR80y,0.22181640455264215
EAR60y,0.22181640455264215
RNDR1,0.22111559553898627
EX_damp_e,0.2211155955388811
NTD6,0.22095268398110968
EX_dad_2_e,0.2209526839810048
RNDR2,0.2135422542278792
EX_dgmp_e,0.21354225422777762
NTD8,0.2133903073600007
EX_dgsn_e,0.2133903073598993
KAS14,0.21327580055165885
EX_dcmp_e,0.20846358139289997
NTD3,0.20828982176218452
EX_dcyt_e,0.20828982176210578
NTPTP1,0.20811434533846387
GLYCL,0.1730649125189243
EX_phe_L_e,0.1710139500013581
PPNDH,0.17101395000129005
CHORM,0.17101395000125225
DDPA,0.17101395000125222
SHKK,0.17101395000125222
DHQTi,0.17101395000125222
DHQS,0.17101395000125222
CHORS,0.17101395000125222
EX_tyr_L_e,0.16991508313578074
PPND,0.16991508313568987
3OAS100,0.1437742058161307
3OAS60,0.14377420581613068
IGPS,0.1369641062876332
INPSHE,0.13671465467105068
TRPS3,0.13671396207297087
GLUTRR,0.13276490951857955
G1SAT,0.004091307910348341
GLUTRS,0.1327649095184893
TMDS2,0.1323553610799404
TRPS1,0.12864133103620295
TRPS2,0.12638067170958947
PRAIi,0.12391917497757277
ANS,0.12391917497757277
ANPRT,0.12391917497757277
EX_indole_e,0.12391917497756126
3OAS141,0.12142914316411126
3OAS121,0.12142914316411126
EAR121x,0.12142914316402997
EAR141x,0.12142914316402957
EAR121y,0.12139510559057315
EAR141y,0.12139510559057272
3OAS161,0.11878961861792486
EAR161x,0.1187896186178429
EAR161y,0.11875704452328352
3OAS181,0.1163935985806652
EAR181x,0.1163935985805837
EAR181y,0.11636232511790569
EX_trp_L_e,0.11559639972617859
3OAS140,0.10050093098131926
3OAS120,0.10050093098131926
EAR120x,0.10050093098125222
EAR100x,0.10050093098125222
EAR140x,0.10050093098125208
EAR120y,0.10047761391633457
EAR100y,0.10047761391633456
EAR140y,0.10047761391633446
3OAS160,0.09904759828198331
EAR160x,0.09904759828191678
EAR160y,0.09902495063593908
PPBNGS,0.06638245475928978
FE2tpp,0.057124129617819035
FA80ACPHi,0.049384481785718914
FA100ACPHi,0.04938448178571891
AACPS9,0.04938448178568227
AACPS8,0.04938448178568227
CG_biomass_cgl_ATCC13032,0.04799282972321772
EX_biomass,0.04799282972321389
UAMDH,0.04581564834480928
UAGCVT,0.045815648344808495
PMPK,0.04338235937094905
2MAHMP,0.043382359370949045
UDPARA,0.031455505618447566
PROTEIN,0.025929566042884766
PPC,0.024778280447742464
3HAD100,0.022193007414453764
3HAD80,0.022193007414453764
3HAD60,0.022193007414453764
3HAD40,0.022193007414453764
FREENTCO,0.018853746758522444
FCLT,0.016595613689822444
CPPPGO,0.016595613689822444
HMBS,0.016595613689822444
PPPGO,0.016595613689822444
PHEMEtiex,0.01659561368982114
UPP3S,0.01659561368981952
UPPDC1,0.01659561368981952
EX_pheme_e,0.016595613689814364
PPPGO3,0.016570090113680835
PHEMEabcpp,0.016553409956587075
3HAD121,0.012142914316362274
3HAD141,0.012142914316362274
3OAR121,0.01214291431632361
3OAR141,0.01214291431632361
3HAD161,0.011878961861743462
3OAR161,0.011878961861704576
3HAD181,0.01163935985801777
3OAR181,0.011639359857979356
3HAD120,0.01005009309809149
3HAD140,0.01005009309809149
3HAD160,0.009904759828158222
FEROpp,0.006071661646764124
MYCOLI,0.0050862800940714645
ARATH,0.0047371322578364655
PEPTH,0.004737132257834717
IONS,0.002986305836700346
RNA,0.0024932275041235352
UAAGDS,0.00229078241724363
UAMAS,0.00229078241724363
UAMAGS,0.00229078241724363
MN2tpp,0.0021532459604911005
MNt2pp,0.002153239143153558
3OAS180,0.0020307632738695617
EAR180x,0.002030763273868062
EAR180y,0.002030753751366586
AGPSC,0.0016696303279004412
PA,0.0016696303278998272
PPTHTH,0.0013962074023091808
NI2tpp,0.0009785803988326645
NI2uabcpp,0.0009785653129848874
CLt3_2pp,0.0008105132671384786
TMCM_FREE,0.0005884063126819303
PY5PSH,1.2172337790494758e-15
DNA,0.000498645500824707
DMPPS,0.0003444894357810304
IPDPS,0.00033264126187445826
PANTS,0.0003286886253934661
CU2tpp,0.00022072682330775972
3HAD180,0.0002030763273860503
PIT,0.00013956908055704452
NADS1,0.00012994594828249595
NNDPR,0.00012994594828249595
ASPO5,0.00012994594828246277
QULNS,0.00012994594827915053
SOL_POOL,0.00012857279082862283
PIM,8.478469450523226e-05
COBALT2tpp,7.689863415405065e-05
COBALT2abcpp,7.689854170722756e-05
CDPMEK,3.473239656887121e-05
PTPATi,3.2868862537271395e-05
PPCDC,3.2868862537271395e-05
PPNCL2,3.2868862537271395e-05
PNTK,3.286886253721171e-05
DXPRIi,3.189786666175947e-05
DXPS,3.189786666175947e-05
GRTT,3.1574905971649283e-05
DMATT,3.157490597164801e-05
DPCOAK,3.018641666303651e-05
DPR,3.018641666303651e-05
MEPCT,2.004969290202098e-05
MECDPS,2.004969290202098e-05
MECDPDH2,2.004969290202098e-05
MOHMT,1.897394550148362e-05
METAT,1.2739763552029195e-05
CLPN,9.130637928141886e-06
UDCPDPS,3.1574905971643984e-06
NACtpp,0.0
MCTP1Bpp,0.0
G3PAT120,0.0
MCTP1App,0.0
U23GAAT,0.0
HDPA2,0.0
LGTHL,0.0
DASYN141,0.0
GLYOX,0.0
G3PAT161,0.0
MCPST,0.0
MNLptspp,0.0
GALKr,0.0
MALTptspp,0.0
AGPAT181,0.0
MAN6Pt6_2pp,0.0
MANptspp,0.0
EX_inost_e,0.0
M1PD,0.0
AHCYSNS,0.0
DASYN120,0.0
MAN2D,0.0
EX_din_e,0.0
MCTP2App,0.0
TMPPP,0.0
HDPA1,0.0
METSOXR1,0.0
DASYN140,0.0
UPP3MT,0.0
WCOS,0.0
AMPTASECG,0.0
G3PAT140,0.0
3NTD2pp,0.0
MDDCP3pp,0.0
G3PAT141,0.0
G3PAT160,0.0
AMPTASEPG,0.0
OROTt2_2pp,0.0
CSND,0.0
ADNCYC,0.0
PA120abcpp,0.0
ADPRDP,0.0
AP5AH,0.0
ORNC,0.0
DASYN181,0.0
PA140abcpp,0.0
DASYN180,0.0
DASYN161,0.0
GP4GH,0.0
G3PAT181,0.0
DASYN160,0.0
FE3DHBZStonex,0.0
EX_dha_e,0.0
NMNt7pp,0.0
MDDCP4pp,0.0
MDDCP5pp,0.0
MPTG,0.0
MPTG2,0.0
AGM4PApp,0.0
NHFRBO,0.0
NO3R1bpp,0.0
NO3R2bpp,0.0
NTRIR3pp,0.0
EX_dimp_e,0.0
NTRIR4pp,0.0
3NTD4pp,0.0
3NTD7pp,0.0
3NTD9pp,0.0
CYANSTpp,0.0
EX_3amp_e,0.0
EX_fe3_e,0.0
XYLK,0.0
MMM2,0.0
THRTRS,0.0
VALTRS,0.0
CD2tpp,0.0
PGSA181,0.0
EX_g3pg_e,0.0
PPASUCC,0.0
SFRD,0.0
PGLYCP,0.0
PFK_2,0.0
PPTHpp,0.0
GLYCK2,0.0
SERTRS,0.0
LEUTRS,0.0
GLYTRS,0.0
ILETRS,0.0
PROTRS,0.0
LYSTRS,0.0
METTRS,0.0
MSDH,0.0
SARCOX,0.0
XYLI2,0.0
HXCT,0.0
EX_gthrd_e,0.0
AMALT1,0.0
GALTptspp,0.0
ALDD19x,0.0
AGDC,0.0
EX_gam_e,0.0
ACNML,0.0
EX_glc_e,0.0
EX_glcn_e,0.0
DAAD,0.0
EX_glcur_e,0.0
GAMptspp,0.0
GLYC2Pabcpp,0.0
GLYBabcpp,0.0
GLYCK,0.0
AMALT2,0.0
AMALT3,0.0
FRUK,0.0
EX_g3pi_e,0.0
HEX7,0.0
GNK,0.0
GLYCDx,0.0
GLCRD,0.0
EX_g3ps_e,0.0
FFSD,0.0
FDMO,0.0
DRPA,0.0
DHPTDNRN,0.0
DHAPT,0.0
BETALDHy,0.0
BETALDHx,0.0
AMALT4,0.0
EX_g3pe_e,0.0
EX_h2_e,0.0
EX_etha_e,0.0
EX_fe2_e,0.0
GPDDA2,0.0
GPDDA3,0.0
GPDDA4,0.0
GPDDA5,0.0
PGSA120,0.0
PGSA140,0.0
MSDHD,0.0
EX_for_e,0.0
PGSA141,0.0
EX_fru_e,0.0
G3PCabcpp,0.0
ACMANAptspp,0.0
ACMUMptspp,0.0
FDH5pp,0.0
FDH4pp,0.0
ACHACB,0.0
MALTabcpp,0.0
FRUpts2pp,0.0
EX_dmso_e,0.0
EX_dms_e,0.0
UPPRT,0.0
EX_imp_e,0.0
