,fluxes,ec-code,kcat_MW,E,equ
AMANAPEr,0.0,5.1.3.9,,,acmanap_c --> acgam6p_c
APG,0.013849046137145497,,,,cdpdag_c + glyc3p_c --> apg_c + cmp_c
ARAI_num1,0.0,5.3.1.4,53617.0342453467,0.0,arab__L_c --> rbl__L_c
BETALDHx,0.0,,509068.42447164323,0.0,betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c
BETALDHy,0.0,,509068.42447164323,0.0,betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c
CBMKr,0.15580387743764457,2.7.2.2,,,atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
DHACOAH,0.0,,729154.4623007701,0.0,23dhacoa_c + h2o_c --> 3hadpcoa_c
DHAPT,0.0,,678784.0145437374,0.0,dha_c + pep_c --> dhap_c + pyr_c
DHPTDNRN,0.0,,634033.6529892529,0.0,dhptdn_c + 3.0 h_c + nadh_c --> nad_c + thptdn_c
DRPA,0.0,4.1.2.4,17196.844655486308,0.0,2dr5p_c --> acald_c + g3p_c
FFSD_num1,0.0,3.2.1.26,24265144.38243025,0.0,h2o_c + suc6p_c --> fru_c + g6p_c
FRUK,0.0,2.7.1.56,,,atp_c + f1p_c --> adp_c + fdp_c + h_c
G3PD2,0.0,1.1.1.94,,,glyc3p_c + nadp_c --> dhap_c + h_c + nadph_c
G3PT,0.0,,1053733.3958359563,0.0,glyc3p_c + h2o_c --> glyc_c + pi_c
G6PDA,0.0,3.5.99.6,29604.45907449791,0.0,gam6p_c + h2o_c --> f6p_c + nh4_c
GLCATr,0.0,2.3.1.79,,,accoa_c + glc__D_c --> acglc__D_c + coa_c
GLCRD,0.0,4.2.1.40,1125.633101761907,0.0,glcr_c --> 5dh4dglc_c + h2o_c
GLYCDx,0.0,,984197.1708957852,0.0,dha_c + h_c + nadh_c --> glyc_c + nad_c
GLYK,8.503648326172727e-05,2.7.1.30,210634.9313219066,4.037150093199344e-10,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
GNK_num1,0.0,2.7.1.12,1832.1932334071905,0.0,atp_c + glcn_c --> 6pgc_c + adp_c + h_c
GUI1,0.0,5.3.1.12,4252.460148798637,0.0,glcur_c --> fruur_c
HCO3E,1.379703532375463,4.2.1.1,470958769.3065946,2.929563312743572e-09,co2_c + h2o_c --> h_c + hco3_c
HEX7,0.0,2.7.1.4,,,atp_c + fru_c --> adp_c + f6p_c + h_c
HPYRI_num1,0.0,5.3.1.22,,,hpyr_c --> 2h3oppan_c
HSST_2,0.037180144284342284,,,,hom__L_c + succoa_c --> coa_c + suchms_c
HXCT,0.0,2.8.3.8,13230.533172009693,0.0,accoa_c + hxa_c --> ac_c + hxcoa_c
MALGT,0.0,5.4.99.16,5443.808922715724,0.0,malt_c --> tre_c
MALTATr,0.0,2.3.1.79,,,accoa_c + malt_c --> acmalt_c + coa_c
MAN1PG,0.0,2.7.7.13,10157.569948513508,0.0,gtp_c + man1p_c --> gdpmann_c + ppi_c
MAN6PI,0.0,5.3.1.8,1926768.97161713,0.0,man6p_c --> f6p_c
MCITL2_num1,0.0,4.1.3.30,1702.7059695356977,0.0,micit_c --> pyr_c + succ_c
MM_COA_ADD5,0.0,6.4.1.3,238.36070939588703,0.0,atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c
MMM2,0.0,5.4.99.2,3323.413884640899,0.0,succoa_c --> mmcoa__R_c
MSDH_num1,0.0,1.2.1.27,126.2281539137217,0.0,2mop_c + coa_c + h2o_c + nad_c --> hco3_c + nadh_c + ppcoa_c
PFK_2,0.0,2.7.1.11,4065.7579519513292,0.0,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c
PGLYCP_num1,0.0,3.1.3.18,3305.3453278932484,0.0,2pglyc_c + h2o_c --> glyclt_c + pi_c
PGMT,0.0,5.4.2.2,8642.482052075773,0.0,g1p_c --> g6p_c
PMANM_num1,0.0,5.4.2.8,1426.8943687529004,0.0,man1p_c --> man6p_c
PPASUCC,0.0,,,,oaa_c + ppa_c --> pyr_c + succ_c
RBK_num1,0.0,2.7.1.15,977.4505158770088,0.0,atp_c + rib__D_c --> adp_c + h_c + r5p_c
SUCptsp,0.0,2.7.1.69,,,h2o_c + sucr_e --> f6p_c + g6p_c
TRE6p,0.0,3.2.1.93,,,h2o_c + tre6p_c --> g6p_c + glc__D_c
TRE6PP,0.007580686933236057,3.1.3.12,1262.6087987725225,6.003987094502918e-06,h2o_c + tre6p_c --> pi_c + tre_c
TRE6PS,0.007580686933236057,2.4.1.15,9935.349210760574,7.630015586191698e-07,g6p_c + udpg_c --> h_c + tre6p_c + udp_c
UACGAMPpp,0.0,3.6.1.45,,,h2o_c + uacgam_c --> acgam1p_c + 2.0 h_c + ump_c
UDPARA,0.2929549499241955,,,,h_c + r5p_c + utp_c --> ppi_c + udpara_c
UDPG4E,0.031374794831268885,5.1.3.2,229529.8075688478,1.3669159210120442e-07,udpg_c --> udpgal_c
UDPGALPpp,0.0,3.6.1.45,,,h2o_c + udpgal_c --> gal1p_c + 2.0 h_c + ump_c
UDPGPpp_num1,0.0,3.6.1.45,37565.87986360587,0.0,h2o_c + udpg_c --> g1p_c + 2.0 h_c + ump_c
UGLCURPpp,0.0,3.6.1.45,,,h2o_c + udpglcur_c --> glcur1p_c + 2.0 h_c + ump_c
XYLI1,0.0,5.3.1.5,476.89448024689926,0.0,xyl__D_c --> xylu__D_c
XYLI2,0.0,5.3.1.5,476.89448024689926,0.0,fru_c --> glc__D_c
XYLK,0.0,2.7.1.17,55291.34709068613,0.0,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
GALKr,0.0,2.7.1.6,2392.2978048651416,0.0,atp_c + gal_c --> adp_c + gal1p_c + h_c
M1PD,0.0,1.1.1.17,4413.971269212752,0.0,f6p_c + h_c + nadh_c --> mnl1p_c + nad_c
MAN2D,0.0,1.1.1.67,2472.943164856919,0.0,fru_c + h_c + nadh_c --> mnl_c + nad_c
MCITD_num1,0.0,4.2.1.79,,,2mcit_c --> 2mcacn_c + h2o_c
HDPA1,0.0,,,,dha_c + pi_c --> dhap_c + h2o_c
HDPA2,0.0,,,,atp_c + dha_c --> adp_c + dhap_c
ICL,0.0,4.1.3.1,142.44774665694374,0.0,icit_c --> glx_c + succ_c
MALS,0.0,2.3.3.9,36385.79676076856,0.0,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
ME1_num1,0.0,1.1.1.38,8614.955039932014,0.0,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ME2,0.0,1.1.1.40,15629.260625391302,0.0,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c
PPA,0.0,3.6.1.1,27376.93023007578,0.0,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPA2,0.0,3.6.1.1,27376.93023007578,0.0,h2o_c + pppi_c --> h_c + pi_c + ppi_c
PPC,0.0,4.1.1.31,1.9186729722813665,0.0,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
PPCK,0.0,4.1.1.32,33698.01390409523,0.0,atp_c + oaa_c --> adp_c + co2_c + pep_c
ABTA,0.0,2.6.1.19,1834.7653845141572,0.0,4abut_c + akg_c --> glu__L_c + sucsal_c
ACGK,0.09301959028481459,2.7.2.8,4429.164972519104,2.100160884996554e-05,acglu_c + atp_c --> acg5p_c + adp_c
ACGS,0.0,2.3.1.1,99.712938510349,0.0,accoa_c + glu__L_c --> acglu_c + coa_c + h_c
ACODA,0.0,3.5.1.16,99020.8097054526,0.0,acorn_c + h2o_c --> ac_c + orn_c
ACOTA,0.0,2.6.1.11,51.76460703837754,0.0,acorn_c + akg_c --> acg5sa_c + glu__L_c
AGPR,0.0,1.2.1.38,,,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c
AMPTASEPG_num1,0.0,3.4.11.2,8958.545519435143,0.0,h2o_c + progly_c --> gly_c + pro__L_c
ARGSL,0.09301959028481459,4.3.2.1,28318.131337369043,3.2848067966287203e-06,argsuc_c --> arg__L_c + fum_c
CBPS,0.0,6.3.5.5,37.27488664718482,0.0,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c
CSND,0.0,3.5.4.21,,,crtn_c + h2o_c --> nh3_c + nmeth_c
G5SADs,0.07804720108037391,,,,glu5sa_c --> 1pyr5c_c + h2o_c + h_c
G5SD,0.07804720108037391,1.2.1.41,,,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
GLU5K,0.07804720108037391,2.7.2.11,,,atp_c + glu__L_c --> adp_c + glu5p_c
GLUNATF,0.09301959028481459,2.3.1.35,,,acorn_c + glu__L_c --> acglu_c + orn_c
OCBT,0.09301959028481459,2.1.3.3,124894.07242693887,7.447878708513539e-07,cbp_c + orn_c --> citr__L_c + h_c + pi_c
ORNC,0.0,4.3.1.12,,,orn_c --> nh3_c + pro__L_c
P5CD,0.0,1.2.1.88,180.44584558577262,0.0,1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c
P5CR,0.07804720108037391,1.5.1.2,126908.49457418954,6.149879985752115e-07,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c
PROD2,0.0,1.5.99.8,418.3012407103723,0.0,fad_c + pro__L_c --> 1pyr5c_c + fadh2_c + h_c
SPMDAT1,0.0,2.3.1.57,199.36091171072516,0.0,accoa_c + spmd_c --> N1aspmd_c + coa_c + h_c
SPMDAT2_num1,0.0,2.3.1.57,357.8684180059094,0.0,accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c
SPMS,0.0,2.5.1.16,2908.1801298697355,0.0,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
SSALy_num1,0.0,1.2.1.16,332.2275864889033,0.0,h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c
UREAAH,0.0,3.5.1.5,127085.34031273694,0.0,h2o_c + urea_c --> co2_c + 2.0 nh4_c
ARGSS,0.09301959028481459,6.3.4.5,,,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
CG_biomass_cgl_ATCC13032,0.4469722152563867,,,,0.098705 arabino_c + 47.7 atp_c + 0.01039 dna_c + 47.7 h2o_c + 0.062224 ions_c + 0.10598 mycoli_c + 0.098705 peptid_c + 0.029092 phosph_c + 0.54028 protein_c + 0.05195 rna_c + 0.002679 soluble_pool_c --> 47.7 adp_c + biomass_c + 47.7 h_c + 47.7 pi_c
BAMPN,0.0,,,,apo_c + btamp_c --> amp_c + bccp_c + h_c
BIOTIN_t,0.0,,,,atp_c + btn_e + h2o_c --> adp_c + btn_c + h_c + pi_c
BTNAMP,0.0,,,,atp_c + btn_c + h_c --> btamp_c + ppi_c
3HAD100,0.2066904107238224,2.3.1.85,1944.901772485004,0.00010627293041115067,3hdecACP_c --> h2o_c + tdec2eACP_c
3HAD120,0.09359965648028011,2.3.1.85,1944.901772485004,4.8125647168642194e-05,3hddecACP_c --> h2o_c + tddec2eACP_c
3HAD121,0.1130907542435423,2.3.1.85,1944.901772485004,5.814728324250848e-05,3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c
3HAD140,0.09359965648028011,2.3.1.85,1944.901772485004,4.8125647168642194e-05,3hmrsACP_c --> h2o_c + tmrs2eACP_c
3HAD141,0.1130907542435423,2.3.1.85,1944.901772485004,5.814728324250848e-05,3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c
3HAD160,0.09224612233804753,2.3.1.85,1944.901772485004,4.742970757859124e-05,3hpalmACP_c --> h2o_c + tpalm2eACP_c
3HAD161,0.11063248257996827,2.3.1.85,1944.901772485004,5.688332652327885e-05,3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c
3HAD180,0.0018913132741257923,2.3.1.85,1944.901772485004,9.7244668130939e-07,3hoctaACP_c --> h2o_c + toctd2eACP_c
3HAD181,0.10840099427217353,2.3.1.85,1944.901772485004,5.5735973819217316e-05,3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c
3HAD40,0.2066904107238224,,1550553.9512109184,1.3330101191410062e-07,3haACP_c --> but2eACP_c + h2o_c
3HAD60,0.2066904107238224,2.3.1.85,1944.901772485004,0.00010627293041115067,3hhexACP_c --> h2o_c + thex2eACP_c
3HAD80,0.2066904107238224,2.3.1.85,1944.901772485004,0.00010627293041115067,3hoctACP_c --> h2o_c + toct2eACP_c
3OAR100,0.2066904107238224,1.1.1.100,8486.469619571115,2.4355287886397694e-05,3odecACP_c + h_c + nadph_c --> 3hdecACP_c + nadp_c
3OAR120,0.09359965648028011,1.1.1.100,8486.469619571115,1.102928080534511e-05,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c
3OAR140,0.09359965648028011,1.1.1.100,8486.469619571115,1.102928080534511e-05,3omrsACP_c + h_c + nadph_c --> 3hmrsACP_c + nadp_c
3OAR160,0.09224612233804753,1.1.1.100,8486.469619571115,1.0869787611719444e-05,3opalmACP_c + h_c + nadph_c --> 3hpalmACP_c + nadp_c
3OAR180,0.0018913132741257923,1.1.1.100,8486.469619571115,2.2286219817061862e-07,3ooctdACP_c + h_c + nadph_c --> 3hoctaACP_c + nadp_c
3OAR40,0.2066904107238224,1.1.1.100,8486.469619571115,2.4355287886397694e-05,actACP_c + h_c + nadph_c --> 3haACP_c + nadp_c
3OAR60,0.2066904107238224,1.1.1.100,8486.469619571115,2.4355287886397694e-05,3ohexACP_c + h_c + nadph_c --> 3hhexACP_c + nadp_c
3OAR80,0.2066904107238224,1.1.1.100,8486.469619571115,2.4355287886397694e-05,3ooctACP_c + h_c + nadph_c --> 3hoctACP_c + nadp_c
3OAS100_num1,0.2066904107238224,2.3.1.41,134477.3626383163,1.5369903652834625e-06,h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c
3OAS120_num1,0.09359965648028011,2.3.1.41,41.69948812948567,0.002244623631581124,dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c
3OAS121_num1,0.1130907542435423,,1805758.4602248643,6.262784128363409e-08,cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c
3OAS140_num1,0.09359965648028011,2.3.1.41,41.69948812948567,0.002244623631581124,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c
3OAS141_num1,0.1130907542435423,,1805758.4602248643,6.262784128363409e-08,cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c
3OAS160_num1,0.09224612233804753,,1805758.4602248643,5.10844193007743e-08,h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c
3OAS161_num1,0.11063248257996827,,1805758.4602248643,6.12664899635534e-08,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c
3OAS180_num1,0.0018913132741257923,,1805758.4602248643,1.0473788802796329e-09,h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c
3OAS181_num1,0.10840099427217353,,1805758.4602248643,6.003072761939311e-08,h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c
3OAS60_num1,0.2066904107238224,2.3.1.41,134477.3626383163,1.5369903652834625e-06,butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c
3OAS80_num1,0.2066904107238224,,1805758.4602248643,1.1446182602853985e-07,h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c
AACPS1_num1,0.0,,1805758.4602248643,0.0,ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c
AACPS2_num1,0.0,,1805758.4602248643,0.0,ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c
AACPS3_num1,0.0,,1805758.4602248643,0.0,ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c
AACPS4_num1,0.0,,1805758.4602248643,0.0,ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c
AACPS5_num1,0.0,,1805758.4602248643,0.0,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c
AACPS6_num1,0.0,,1805758.4602248643,0.0,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c
AACPS7_num1,0.0,,1805758.4602248643,0.0,ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c
AACPS8_num1,0.0,6.2.1.20,3.9049687880454815,0.0,ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c
AACPS9_num1,0.0,6.2.1.20,3.9049687880454815,0.0,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c
ALAALAr,0.03958346294109928,6.3.2.4,144.6514658836497,0.00027364716077566895,2.0 ala__D_c + atp_c --> adp_c + alaala_c + h_c + pi_c
CDPDAG,0.015148896583088985,,,,ctp_c + pa_c --> cdpdag_c + ppi_c
CLPN,8.503648326172727e-05,,,,apg_c --> clpn_c + glyc_c + pi_c
EAR100x,0.09359965648028011,1.3.1.9,2007.3499779850033,4.662846912935248e-05,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c
EAR100y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c
EAR120x,0.09359965648028011,1.3.1.9,2007.3499779850033,4.662846912935248e-05,h_c + nadh_c + tddec2eACP_c --> ddcaACP_c + nad_c
EAR120y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c
EAR121x,0.1130907542435423,1.3.1.9,2007.3499779850033,5.6338334363130765e-05,h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c
EAR121y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c
EAR140x,0.09359965648028011,1.3.1.9,2007.3499779850033,4.662846912935248e-05,h_c + nadh_c + tmrs2eACP_c --> myrsACP_c + nad_c
EAR140y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c
EAR141x,0.1130907542435423,1.3.1.9,2007.3499779850033,5.6338334363130765e-05,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c
EAR141y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c
EAR160x,0.09224612233804753,1.3.1.9,2007.3499779850033,4.595418006313232e-05,h_c + nadh_c + tpalm2eACP_c --> nad_c + palmACP_c
EAR160y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c
EAR161x,0.11063248257996827,1.3.1.9,2007.3499779850033,5.511369905262967e-05,h_c + nadh_c + t3c9palmeACP_c --> hdeACP_c + nad_c
EAR161y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c
EAR180x,0.0018913132741257923,1.3.1.9,2007.3499779850033,9.421940841747538e-07,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c
EAR180y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c
EAR181x,0.10840099427217353,1.3.1.9,2007.3499779850033,5.400204023265911e-05,h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c
EAR181y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c
EAR40x,0.2066904107238224,1.3.1.9,2007.3499779850033,0.00010296680349248324,but2eACP_c + h_c + nadh_c --> butACP_c + nad_c
EAR40y,0.0,1.3.1.10,3483.2705942955267,0.0,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c
EAR60x,0.2066904107238224,1.3.1.9,2007.3499779850033,0.00010296680349248324,h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c
EAR60y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c
EAR80x,0.2066904107238224,1.3.1.9,2007.3499779850033,0.00010296680349248324,h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c
EAR80y,0.0,1.3.1.10,3483.2705942955267,0.0,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c
FA100ACPHi_num1,0.0,3.1.2.14,324.0658102802942,0.0,dcaACP_c + h2o_c --> ACP_c + dca_c + h_c
FA120ACPHi_num1,0.0,3.1.2.14,324.0658102802942,0.0,ddcaACP_c + h2o_c --> ACP_c + ddca_c + h_c
FA140ACPHi_num1,0.0,3.1.2.14,324.0658102802942,0.0,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c
FA141ACPHi_num1,0.0,3.1.2.14,324.0658102802942,0.0,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c
FA160ACPHi_num1,0.0,3.1.2.14,324.0658102802942,0.0,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c
FA161ACPHi_num1,0.0,3.1.2.14,324.0658102802942,0.0,h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c
FA80ACPHi_num1,0.0,3.1.2.14,324.0658102802942,0.0,h2o_c + ocACP_c --> ACP_c + h_c + octa_c
FACOAL100t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + dca_e + h_e --> amp_c + dcacoa_c + h_c + ppi_c
FACOAL120t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + ddca_e + h_e --> amp_c + ddcacoa_c + h_c + ppi_c
FACOAL140t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + h_e + ttdca_e --> amp_c + h_c + ppi_c + tdcoa_c
FACOAL141t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + h_e + ttdcea_e --> amp_c + h_c + ppi_c + tdecoa_c
FACOAL160t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + h_e + hdca_e --> amp_c + h_c + pmtcoa_c + ppi_c
FACOAL161t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + h_e + hdcea_e --> amp_c + h_c + hdcoa_c + ppi_c
FACOAL180t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + h_e + ocdca_e --> amp_c + h_c + ppi_c + stcoa_c
FACOAL181t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + h_e + ocdcea_e --> amp_c + h_c + odecoa_c + ppi_c
FACOAL60t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + h_e + hxa_e --> amp_c + h_c + hxcoa_c + ppi_c
FACOAL80t2pp_num1,0.0,6.2.1.3,71.28058159904715,0.0,atp_c + coa_c + h_e + octa_e --> amp_c + h_c + occoa_c + ppi_c
G1PACT,0.06400431674543348,2.3.1.157,437.5318050090762,0.0001462849466317215,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c
GF6PTA,0.06400431674543348,2.6.1.16,326.7043344820733,0.00019590899167866866,f6p_c + gln__L_c --> gam6p_c + glu__L_c
GLUR,0.0,5.1.1.3,474871.8862154237,0.0,glu__D_c --> glu__L_c
INPTH,0.0,5.5.1.4,187.06688064001145,0.0,g6p_c --> mi1p__D_c
MI1PP_num1,0.0,3.1.3.25,13545.781361884176,0.0,h2o_c + mi1p__D_c --> inost_c + pi_c
PGAMT,0.0,5.4.2.10,121.6536057342256,0.0,gam1p_c --> gam6p_c
PIM,0.0007896263450468512,,,,pit_c --> pim_c
PIT,0.0012998504459434893,,,,cdpdag_c --> pit_c
T2DECAI,0.1130907542435423,,,,tdec2eACP_c --> cdec3eACP_c
TDPGDH_num1,0.0,4.2.1.46,8504.892870049425,0.0,dtdpglu_c --> dtdp4d6dg_c + h2o_c
UAAGDS,0.021334772248477827,6.3.2.13,247.87293086376076,8.607140833867064e-05,26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c
UAGCVT_num1,0.0,2.5.1.7,45.9958391105591,0.0,pep_c + uacgam_c --> pi_c + uaccg_c
UAGDP,0.06400431674543348,2.3.1.157,437.5318050090762,0.0001462849466317215,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
UAGPT3,0.0,2.4.1.227,215.7158302010117,0.0,uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c
UAMAGS,0.021334772248477827,6.3.2.9,20647.018192650143,1.0333100910461012e-06,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c
UAMAS,0.021334772248477827,6.3.2.8,3247.5308732053136,6.56953638978662e-06,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c
UAMDH_num1,0.042669544496955654,1.3.1.98,2989.97942758922,1.4270848857097164e-05,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c
UDCPDP,0.0,3.6.1.27,9353.324163680887,0.0,h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c
UDPGALM,0.0,5.4.99.9,1519.1551509506876,0.0,udpgal_c --> udpgalfur_c
