gene_start	gene_stop	gene_id	normalized_counts
89444	88542	Cgl0081	58.60152561
89558	90448	Cgl0082	31.96446851
90973	90458	Cgl0083	201.3761516
91174	91476	Cgl0084	408.0797147
91503	91991	Cgl0085	409.145197
91992	93704	Cgl0086	1257.269095
93729	94202	Cgl0087	319.6446851
94202	94882	Cgl0088	270.6325001
94899	95516	Cgl0089	285.5492521
95517	96368	Cgl0090	327.1030611
97144	96365	Cgl0091	530.6101773
98470	97316	Cgl0092	478.4015454
101582	98805	Cgl0093	2439.95443
103435	101609	Cgl0094	1214.649804
103494	104912	Cgl0095	1717.557441
105751	105170	Cgl0096	2.130964568
106392	105838	Cgl0097	29.83350395
107289	106627	Cgl0098	66.0599016
107435	110893	Cgl0099	3359.465641
111374	112321	Cgl0100	1147.52442
112470	114086	Cgl0101	6682.704884
114147	115481	Cgl0102	4239.554007
115578	115946	Cgl0103	1030.321368
115949	116266	Cgl0104	630.765512
118599	116545	Cgl0105	1855.004656
119589	118807	Cgl0106	2022.285375
120021	120413	Cgl0107	1478.88941
120922	120410	Cgl0108	284.4837698
122459	120948	Cgl0109	101.220817
123841	122504	Cgl0110	117.2030512
124130	124969	Cgl0111	506.1040848
124932	126353	Cgl0112	1072.94066
127189	126350	Cgl0113	2520.931083
128004	127189	Cgl0114	3423.394578
129049	128096	Cgl0115	304.7279332
130118	129486	Cgl0116	229.078691
130145	130801	Cgl0117	116.1375689
131738	130812	Cgl0118	188.5903642
131798	132427	Cgl0119	1077.202589
132424	132984	Cgl0120	822.5523231
134113	132968	Cgl0121	2027.612786
135478	134204	Cgl0122	736.2482581
136321	135515	Cgl0123	39.4228445
136565	136119	Cgl0124	24.50609253
136804	138747	Cgl0125	4515.513919
138791	140332	Cgl0126	3071.785424
140329	141792	Cgl0127	2146.946802
141796	143529	Cgl0128	1036.714262
142455	143078	Cgl0129	386.770069
143575	144642	Cgl0130	1024.993957
144725	145483	Cgl0131	476.2705809
146396	145515	Cgl0132	118.2685335
146522	147241	Cgl0133	220.5548327
147238	147573	Cgl0134	269.5670178
147980	147570	Cgl0135	1519.377737
148122	149783	Cgl0136	11680.88228
150930	149791	Cgl0137	98.02437011
151572	152372	Cgl0138	476.2705809
151589	150963	Cgl0139	223.7512796
152410	152817	Cgl0140	2868.278308
155613	153223	Cgl0141	751.1650101
155853	156170	Cgl0142	229.078691
156821	156144	Cgl0143	285.5492521
156848	157540	Cgl0144	171.5426477
157614	158141	Cgl0145	40.48832678
158154	158834	Cgl0146	240.7989961
158869	159162	Cgl0147	1117.690916
159162	160016	Cgl0148	2276.93564
160029	160373	Cgl0149	516.7589076
160431	161363	Cgl0150	416.603573
162295	161360	Cgl0151	2140.553908
162463	162870	Cgl0152	197.1142225
162965	163606	Cgl0153	397.4248919
165717	166460	Cgl0154	870.4990259
165755	163686	Cgl0155	4677.467226
166457	167422	Cgl0156	977.0472543
168595	167834	Cgl0157	396.3594096
168975	169994	Cgl0158	660.599016
169996	170919	Cgl0159	417.6690553
170933	172447	Cgl0160	863.0406499
172468	173358	Cgl0161	754.3614569
173548	175278	Cgl0162	942.9518212
175319	176275	Cgl0163	573.2294687
176308	177321	Cgl0164	630.765512
177334	178206	Cgl0165	606.2594195
178285	179661	Cgl0166	221.620315
179689	180714	Cgl0167	61.79797246
180842	181300	Cgl0168	642.4858171
181264	181650	Cgl0169	420.8655021
182679	181684	Cgl0170	88.43502956
182819	184054	Cgl0171	546.5924116
184077	185090	Cgl0172	376.1152462
185214	185645	Cgl0173	181.1319882
186508	186711	Cgl0174	8481.238979
186769	187305	Cgl0175	152.3639666
187302	187610	Cgl0176	112.9411221
187687	188103	Cgl0177	219.4893505
188725	188297	Cgl0178	106.5482284
189736	188744	Cgl0179	205.6380808
189920	190324	Cgl0180	219.4893505
192175	190700	Cgl0181	930.1660338
193262	194467	Cgl0182	333.4959548
195038	194601	Cgl0183	1352.097018
195240	199772	Cgl0184	364.3949411
199772	201292	Cgl0185	60.73249018
203244	201757	Cgl0186	3467.079352
207011	203538	Cgl0187	8312.892778
208989	207004	Cgl0188	2563.550375
209968	209207	Cgl0189	2607.235148
211455	209989	Cgl0190	7366.74451
211768	211532	Cgl0191	319.6446851
211777	212286	Cgl0192	449.6335238
212283	212738	Cgl0193	326.0375788
212656	213660	Cgl0194	1170.96503
213712	214110	Cgl0195	755.4269392
214121	214525	Cgl0196	563.6401281
214527	215162	Cgl0197	528.4792128
216100	215159	Cgl0198	1297.757422
216712	216113	Cgl0199	300.466004
217929	217138	Cgl0200	590.2771852
218746	217940	Cgl0201	1449.055906
218979	220154	Cgl0202	1088.922894
221107	220151	Cgl0203	877.9574019
221712	221128	Cgl0204	131.0543209
221911	222210	Cgl0205	155.5604134
223685	222207	Cgl0206	2226.857973
224336	225247	Cgl0207	6.392893703
226324	225239	Cgl0208	552.9853053
226767	226309	Cgl0209	109.7446752
227230	226757	Cgl0210	413.4071261
227685	227215	Cgl0211	710.6766833
228887	227700	Cgl0212	663.7954628
229613	228888	Cgl0213	339.8888485
230514	229708	Cgl0214	1149.655384
230608	230931	Cgl0215	359.0675296
231842	230928	Cgl0216	890.7431893
232267	231845	Cgl0217	526.3482482
233282	232257	Cgl0218	1203.994981
233913	234821	Cgl0219	285.5492521
235203	234907	Cgl0220	49.01218506
236212	235448	Cgl0221	142.774626
236326	237345	Cgl0222	110.8101575
237345	238148	Cgl0223	59.66700789
238176	239528	Cgl0224	858.7787207
239986	241518	Cgl0225	1959.42192
242902	241880	Cgl0226	1084.660965
242910	243434	Cgl0227	830.0106991
243494	243913	Cgl0228	469.8776872
244015	244218	Cgl0229	10304.27917
244466	244819	Cgl0230	269.5670178
244902	247307	Cgl0231	3784.593072
247310	248575	Cgl0232	1775.093485
249294	248554	Cgl0233	1828.367599
249428	250510	Cgl0234	14.91675197
250503	251942	Cgl0235	26.6370571
251952	252833	Cgl0236	301.5314863
253819	252827	Cgl0237	334.5614371
255438	254326	Cgl0238	106.5482284
255794	255489	Cgl0239	75.64924215
256599	257897	Cgl0240	6139.308919
257900	258532	Cgl0241	1613.140178
258551	260878	Cgl0242	3820.81947
260987	261298	Cgl0243	5094.070799
261402	262058	Cgl0244	375.0497639
263295	262543	Cgl0245	603.0629726
264566	263295	Cgl0246	1233.828485
265678	264596	Cgl0247	981.3091834
268001	266151	Cgl0248	8225.523231
269068	268811	Cgl0249	417.6690553
269124	268255	Cgl0250	809.7665357
269371	270636	Cgl0251	11149.20662
270660	271694	Cgl0252	12002.65793
271761	273197	Cgl0253	1020.732028
274120	273539	Cgl0254	311.1208269
274366	275874	Cgl0255	51054.71459
275891	276235	Cgl0256	96.95888783
276763	276299	Cgl0257	109.7446752
276829	277584	Cgl0258	43.68477364
277581	277907	Cgl0259	28.76802166
278301	277984	Cgl0260	114.0066044
278732	278385	Cgl0261	107.6137107
278814	279896	Cgl0262	261.0431595
279893	280282	Cgl0263	201.3761516
280666	280346	Cgl0264	365.4604233
280939	280667	Cgl0265	405.9487501
281401	280946	Cgl0266	464.5502757
282933	281401	Cgl0267	1213.584321
283317	282934	Cgl0268	215.2274213
286202	283314	Cgl0269	2636.00317
286373	287860	Cgl0270	1923.195522
288829	287963	Cgl0271	34.09543308
289796	289128	Cgl0272	85.2385827
291243	289774	Cgl0273	312.1863092
291815	292420	Cgl0274	382.5081399
291833	291270	Cgl0275	44.75025592
293511	292594	Cgl0276	1078.268071
293539	293994	Cgl0277	1826.236634
296388	294001	Cgl0278	5152.672324
297064	297405	Cgl0279	3594.937226
297431	297625	Cgl0280	494.3837797
297631	297786	Cgl0281	1092.119341
297792	298253	Cgl0282	2548.633623
299684	298329	Cgl0283	57.53604333
301261	299723	Cgl0284	88.43502956
302036	301509	Cgl0285	318.5792029
302167	303102	Cgl0286	106.5482284
303133	304077	Cgl0287	171.5426477
304070	305266	Cgl0288	172.60813
305288	305761	Cgl0289	68.19086616
305858	306703	Cgl0290	5975.224648
307462	306779	Cgl0291	15153.28904
307918	307724	Cgl0292	883.2848133
307955	308737	Cgl0293	560.4436813
308745	309305	Cgl0294	545.5269293
309370	310041	Cgl0295	593.4736321
310135	311328	Cgl0296	1112.363504
312891	311896	Cgl0297	2500.68692
313457	312906	Cgl0298	4584.770267
314590	313622	Cgl0299	1714.360995
314980	316005	Cgl0300	15.98223426
316110	317135	Cgl0301	19.17868111
317078	317896	Cgl0302	15.98223426
317920	318468	Cgl0303	93.76244098
318492	318692	Cgl0304	19.17868111
318696	319016	Cgl0305	21.30964568
318991	319338	Cgl0306	19.17868111
321690	319333	Cgl0307	872.6299904
322007	322210	Cgl0308	24692.55193
322910	325900	Cgl0309	7551.072945
325904	326617	Cgl0310	649.9441931
327735	326692	Cgl0311	1253.007166
328283	329542	Cgl0312	482.6634746
329748	329912	Cgl0313	180.066506
329933	330379	Cgl0314	1042.041674
330973	331536	Cgl0315	200.3106694
331552	332436	Cgl0316	96.95888783
332919	334565	Cgl0317	58.60152561
334549	334956	Cgl0318	7.458375987
335009	336115	Cgl0319	4641.240828
336212	336751	Cgl0320	2689.277284
336781	337452	Cgl0321	2000.975729
337539	338771	Cgl0322	869.4335436
338793	339728	Cgl0323	3004.66004
340569	340192	Cgl0324	601.9974904
341327	340566	Cgl0325	1296.691939
341347	342378	Cgl0326	641.4203349
342417	343454	Cgl0327	1825.171152
343636	345720	Cgl0328	213.0964568
345975	345811	Cgl0329	491.1873328
346460	346107	Cgl0330	725.5934353
348019	346958	Cgl0331	5019.487039
348952	348095	Cgl0332	936.5589275
350310	348949	Cgl0333	1218.911733
351443	350310	Cgl0334	2427.168643
351948	351367	Cgl0335	2072.363042
352693	353640	Cgl0336	581.753327
354387	353746	Cgl0337	713.8731302
355906	354596	Cgl0338	768.2127266
357228	355846	Cgl0339	1379.799558
359354	357234	Cgl0340	2690.342767
360334	359759	Cgl0341	245.0609253
361905	360811	Cgl0342	858.7787207
363151	362054	Cgl0343	15223.61087
363824	365260	Cgl0344	11423.03556
365250	365855	Cgl0345	3950.808308
365855	366841	Cgl0346	6314.048014
366832	368646	Cgl0347	9900.461381
368647	369804	Cgl0348	7802.526764
369794	370408	Cgl0349	4134.071261
370613	371776	Cgl0350	2788.367137
371929	373422	Cgl0351	1929.588416
373500	374816	Cgl0352	4475.025592
374833	375840	Cgl0353	3855.980385
375842	376879	Cgl0354	4023.261104
377683	377835	Cgl0355	10.65482284
378093	378230	Cgl0356	49.01218506
378185	378514	Cgl0357	43.68477364
379837	378665	Cgl0358	1419.222402
380842	379847	Cgl0359	4064.814913
381948	383111	Cgl0360	4543.216458
383768	383493	Cgl0361	1005.815276
385190	383979	Cgl0362	4073.338771
386195	385371	Cgl0363	5010.963181
386556	387203	Cgl0364	2523.062048
387657	387460	Cgl0365	20.24416339
387692	389101	Cgl0366	25007.93468
389248	390171	Cgl0367	2980.153948
390233	390733	Cgl0368	494.3837797
392208	390784	Cgl0369	2308.900109
392705	393478	Cgl0370	11094.86702
393639	395516	Cgl0371	19368.33696
395426	396265	Cgl0372	11566.87567
396315	396653	Cgl0373	6490.918073
396672	396935	Cgl0374	647.8132286
398206	397229	Cgl0375	193.9177757
398329	399582	Cgl0376	1409.633061
399598	400020	Cgl0377	2133.095532
400039	400344	Cgl0378	2136.291979
400473	401153	Cgl0379	274.8944292
401150	402799	Cgl0380	425.1274312
402799	404433	Cgl0381	442.1751478
405419	404505	Cgl0382	2967.36816
405480	406148	Cgl0383	499.7111911
406550	407419	Cgl0384	63.92893703
407708	407406	Cgl0385	279.1563584
409975	407708	Cgl0386	658.4680514
410476	410024	Cgl0387	31.96446851
410683	412548	Cgl0388	540.1995179
412557	413636	Cgl0389	519.9553545
413643	414713	Cgl0390	305.7934155
414714	415529	Cgl0391	215.2274213
415643	416602	Cgl0392	72.4527953
416603	417442	Cgl0393	44.75025592
418354	417542	Cgl0394	1582.241191
419253	418438	Cgl0395	2121.375227
419757	419254	Cgl0396	7720.484628
419785	420888	Cgl0397	1072.94066
420866	421519	Cgl0398	572.1639864
421858	422034	Cgl0399	6.392893703
423793	422087	Cgl0400	5607.63326
423878	425134	Cgl0401	949.3447149
425177	425923	Cgl0402	17124.43127
425934	427175	Cgl0403	5368.965228
427172	427870	Cgl0404	1858.201103
428561	429442	Cgl0405	41.55380907
432023	429435	Cgl0406	886.4812601
433028	432123	Cgl0407	623.307136
433062	433991	Cgl0408	3618.377836
434010	434825	Cgl0409	3253.982895
434886	435698	Cgl0410	3603.461084
435940	436140	Cgl0411	6022.105868
436321	436100	Cgl0412	7.458375987
436463	436564	Cgl0413	7446.655682
436573	436767	Cgl0414	775.6711026
438044	436977	Cgl0415	438.9787009
438294	438034	Cgl0416	129.9888386
438516	439907	Cgl0417	2713.783377
439909	440817	Cgl0418	1753.783839
441220	441594	Cgl0419	731.986329
442482	441598	Cgl0420	98.02437011
442758	444161	Cgl0421	684.0396262
444185	446041	Cgl0422	584.9497738
446075	446524	Cgl0423	329.2340257
446538	447389	Cgl0424	626.5035829
447670	447395	Cgl0425	498.6457088
449179	448127	Cgl0426	535.9375888
450826	449180	Cgl0427	1453.317835
451895	450834	Cgl0428	2929.010798
452661	454433	Cgl0429	4513.382954
454450	454878	Cgl0430	654.2061223
454967	455986	Cgl0431	1329.72189
456016	456600	Cgl0432	662.7299805
456641	457153	Cgl0433	560.4436813
457357	459903	Cgl0434	3055.80319
460020	461096	Cgl0435	1133.67315
461112	462458	Cgl0436	1114.494469
462557	463870	Cgl0437	1915.737146
463867	464475	Cgl0438	1082.53
464482	465105	Cgl0439	958.9340554
465118	465912	Cgl0440	680.8431794
465949	467574	Cgl0441	1365.948288
467648	468661	Cgl0442	1256.203613
469370	470173	Cgl0443	8.52385827
470184	470657	Cgl0444	2.130964568
471013	470654	Cgl0445	212.0309745
471420	471118	Cgl0446	789.5223723
471515	471850	Cgl0447	392.0974804
472808	471912	Cgl0448	338.8233663
472948	473814	Cgl0449	620.1106892
475136	473811	Cgl0450	459.2228643
475407	474994	Cgl0451	60.73249018
477048	475486	Cgl0452	487.990886
477995	477045	Cgl0453	369.7223525
478970	478089	Cgl0454	762.8853152
479303	478986	Cgl0455	834.2726282
480201	479449	Cgl0456	336.6924017
480624	480205	Cgl0457	160.8878249
481001	480621	Cgl0458	304.7279332
481391	481128	Cgl0459	513.5624608
482668	481391	Cgl0460	2925.814351
483587	483363	Cgl0461	118.2685335
483942	483634	Cgl0462	342.0198131
485062	484103	Cgl0463	734.1172935
485384	485989	Cgl0464	395.2939273
485385	485074	Cgl0465	167.2807186
486001	487017	Cgl0466	560.4436813
487028	488659	Cgl0467	1751.652875
488660	489103	Cgl0468	576.4259155
489209	490450	Cgl0469	1024.993957
490580	491941	Cgl0470	605.1939372
491966	492658	Cgl0471	1523.639666
493916	492642	Cgl0472	378.2462108
494061	495113	Cgl0473	2237.512796
496810	497145	Cgl0474	1853.939174
497374	498330	Cgl0475	5103.660139
498598	499035	Cgl0476	19008.20394
499162	499872	Cgl0477	21073.10861
501436	499922	Cgl0478	172.60813
502925	504286	Cgl0480	40.48832678
504379	505572	Cgl0481	71.38731302
505698	507650	Cgl0482	231.2096556
507669	509084	Cgl0483	814.0284648
509094	509699	Cgl0484	381.4426576
509998	510513	Cgl0485	88120.71228
510591	510977	Cgl0486	47200.86517
511536	512510	Cgl0487	2125.637156
512913	516410	Cgl0488	48606.23631
516494	520495	Cgl0489	52443.03801
520671	520853	Cgl0490	30.89898623
520865	521647	Cgl0491	279.1563584
522476	521676	Cgl0492	1058.023908
522694	523062	Cgl0493	19467.42681
523069	523536	Cgl0494	23288.24628
523896	526013	Cgl0495	75618.34316
526070	523908	Cgl0496	33.0299508
526376	527566	Cgl0497	222227.6399
527759	527604	Cgl0498	5.327411419
528040	528771	Cgl0499	402.7523033
529570	528776	Cgl0500	216.2929036
530626	529589	Cgl0501	380.3771753
531782	530745	Cgl0502	582.8188092
532008	532526	Cgl0503	36.22639765
533099	533404	Cgl0504	23502.40822
533437	534093	Cgl0505	39180.98002
534087	533398	Cgl0506	15.98223426
534090	534746	Cgl0507	28623.11607
534746	535051	Cgl0508	15414.3322
535072	534743	Cgl0509	28.76802166
535076	535918	Cgl0510	33983.55744
535935	536213	Cgl0511	16305.07539
536183	535896	Cgl0512	10.65482284
536217	536579	Cgl0513	19780.6786
536579	537325	Cgl0514	24601.98593
537328	537744	Cgl0515	21871.15484
537744	537974	Cgl0516	19480.21259
537977	538255	Cgl0517	13724.4773
538267	537971	Cgl0518	7.458375987
538698	538378	Cgl0519	323.9066143
539413	538715	Cgl0520	405.9487501
539741	540109	Cgl0521	34404.42294
540112	540426	Cgl0522	25608.86669
540426	541001	Cgl0523	33168.46349
541048	542082	Cgl0524	639.2893703
542896	542087	Cgl0525	873.6954727
543412	542918	Cgl0526	197.1142225
544329	543412	Cgl0527	458.157382
544670	544332	Cgl0528	238.6680316
546889	544754	Cgl0529	4759.509362
547329	548087	Cgl0530	5287.988575
548990	548184	Cgl0531	859.844203
550651	548987	Cgl0532	2042.529538
551844	550696	Cgl0533	3817.623023
552927	551851	Cgl0534	7930.384638
554129	552945	Cgl0535	11618.01882
554919	554449	Cgl0536	102.2862992
555331	555729	Cgl0537	39341.86785
555749	556285	Cgl0538	46784.2616
556289	556693	Cgl0539	22370.86603
556734	557369	Cgl0540	40064.26484
557373	557558	Cgl0541	22246.2046
557565	558011	Cgl0542	29837.76588
557588	556857	Cgl0543	54.33959647
558517	558194	Cgl0544	67.12538388
558969	558604	Cgl0545	104.4172638
560634	559141	Cgl0546	134.2507678
561368	560631	Cgl0547	56.47056104
562633	561365	Cgl0548	77.78020672
562963	562643	Cgl0549	20.24416339
563736	562990	Cgl0550	80.97665357
565471	563729	Cgl0551	161.9533071
566759	565677	Cgl0552	74.58375987
568088	566796	Cgl0553	122.5304626
569075	568269	Cgl0554	398.4903741
569452	570774	Cgl0555	9649.007562
570774	571319	Cgl0556	6285.279992
571367	570753	Cgl0557	29.83350395
571476	572270	Cgl0558	830.0106991
572349	573179	Cgl0559	9304.856785
573407	573625	Cgl0560	24336.68084
573816	574184	Cgl0561	27411.66272
574187	574591	Cgl0562	26077.6789
574615	575220	Cgl0563	32322.47056
575338	576354	Cgl0564	51231.58465
575366	575208	Cgl0565	10.65482284
576410	576901	Cgl0566	21523.80762
577057	577926	Cgl0567	791.6533369
578033	580432	Cgl0568	4234.226596
580891	580433	Cgl0569	21.30964568
581221	580916	Cgl0570	53.27411419
581406	582665	Cgl0571	56.47056104
582684	584231	Cgl0572	633.9619589
584268	585623	Cgl0573	1345.704124
585823	586251	Cgl0574	758.6233861
587757	586396	Cgl0575	10.65482284
589015	587642	Cgl0576	10.65482284
589296	592865	Cgl0577	63.92893703
592862	593764	Cgl0578	93.76244098
593935	594261	Cgl0579	12.78578741
594293	594583	Cgl0580	15.98223426
594939	595382	Cgl0581	30229.86336
595382	595930	Cgl0582	28779.74197
596109	597452	Cgl0583	4846.878909
597892	598197	Cgl0584	86.30406499
598194	599705	Cgl0585	59.66700789
599699	599935	Cgl0586	6.392893703
600876	600019	Cgl0587	3159.154971
600971	602056	Cgl0588	582.8188092
602080	602577	Cgl0589	427.2583958
602811	604412	Cgl0590	1950.898062
604470	605711	Cgl0591	1092.119341
605718	606395	Cgl0592	665.9264274
606392	606901	Cgl0593	521.0208368
606905	607939	Cgl0594	622.2416537
607958	609682	Cgl0595	1437.335601
609747	610178	Cgl0596	141.7091437
610348	610647	Cgl0597	10040.03956
610659	612275	Cgl0598	31389.10808
612714	612415	Cgl0599	7.458375987
613156	613722	Cgl0600	4098.910346
613722	614750	Cgl0601	8036.932867
615180	614800	Cgl0602	679.7776971
615336	616856	Cgl0603	9803.502493
616973	618097	Cgl0604	5018.421557
619013	618090	Cgl0605	29.83350395
619086	619997	Cgl0606	49.01218506
620004	621575	Cgl0607	11380.41627
621717	622160	Cgl0608	725.5934353
622269	622460	Cgl0609	163.0187894
623635	622457	Cgl0610	866.2370967
623800	624942	Cgl0611	129.9888386
624985	625677	Cgl0612	1318.001585
625677	626003	Cgl0613	468.8122049
626558	626067	Cgl0614	568.9675396
627539	626574	Cgl0615	1217.84625
627727	628554	Cgl0616	169.4116831
628551	630143	Cgl0617	181.1319882
630810	630148	Cgl0618	1815.581812
630949	631812	Cgl0619	537.003071
632684	631821	Cgl0620	397.4248919
633079	632687	Cgl0621	194.9832579
633474	633076	Cgl0622	131.0543209
635175	633529	Cgl0623	830.0106991
636089	635175	Cgl0624	547.6578939
638278	636086	Cgl0625	1640.842717
639462	638314	Cgl0626	601.9974904
639624	640211	Cgl0627	521.0208368
640879	640229	Cgl0628	1449.055906
641133	642560	Cgl0629	1418.15692
643959	642553	Cgl0630	1661.08688
644026	644781	Cgl0631	784.1949609
647590	645173	Cgl0632	1156.048278
648309	647590	Cgl0633	524.2172836
648467	648312	Cgl0634	245.0609253
649105	648437	Cgl0635	1652.563022
650193	649111	Cgl0636	2936.469174
651288	650389	Cgl0637	14192.22402
651601	654615	Cgl0638	137.4472146
654676	655125	Cgl0639	591.3426675
655122	656537	Cgl0640	1191.209193
656547	657218	Cgl0641	583.8842915
658002	657202	Cgl0642	148.1020374
658155	658931	Cgl0644	1360.620876
658933	659427	Cgl0645	631.8309943
659543	660541	Cgl0646	588.1462207
661120	660647	Cgl0647	320.7101674
661166	662020	Cgl0648	3750.497639
662120	662377	Cgl0649	712.8076479
663761	662379	Cgl0650	4941.706832
665088	664123	Cgl0651	2502.817885
666313	665180	Cgl0652	1896.558465
667770	666457	Cgl0653	6122.261203
668264	670468	Cgl0654	6709.341941
670472	670675	Cgl0655	464.5502757
671653	671042	Cgl0656	6.392893703
671700	672656	Cgl0657	456.0264175
672665	673579	Cgl0658	221.620315
673608	674759	Cgl0659	422.9964667
674990	674796	Cgl0660	2.130964568
676122	675079	Cgl0661	89.50051184
676937	676215	Cgl0662	282.3528052
677748	677044	Cgl0663	365.4604233
680044	677828	Cgl0664	20726.82687
681027	680128	Cgl0665	214.161939
681846	681037	Cgl0666	180.066506
682904	681843	Cgl0667	387.8355513
683866	682868	Cgl0668	617.9797246
684925	683873	Cgl0669	1295.626457
685109	686383	Cgl0670	450.6990061
686435	687349	Cgl0671	1821.974705
687351	688010	Cgl0672	787.3914077
688141	688338	Cgl0673	4407.900208
689890	688913	Cgl0674	353.7401182
690696	689914	Cgl0675	90.56599412
691722	690703	Cgl0676	1650.432058
691882	692919	Cgl0677	3414.87072
693028	694113	Cgl0678	2206.61381
694172	695077	Cgl0679	3074.981871
696213	695074	Cgl0680	246.1264076
697995	696766	Cgl0681	2459.133111
698922	698062	Cgl0682	4.261929135
699272	698919	Cgl0683	9.589340554
699281	699916	Cgl0684	2073.428524
699998	700384	Cgl0685	1810.2544
702081	703265	Cgl0686	1592.896014
702108	700381	Cgl0687	1560.931546
703405	704814	Cgl0688	4193.738269
705211	708633	Cgl0689	18446.69478
708839	709711	Cgl0690	110.8101575
709793	710281	Cgl0691	834.2726282
711724	712650	Cgl0693	88.43502956
712738	714234	Cgl0694	577.4913978
714258	715148	Cgl0695	265.3050887
715102	716286	Cgl0696	587.0807384
716660	716283	Cgl0697	330.299508
718009	716684	Cgl0698	1258.334577
718105	718353	Cgl0699	18.11319882
720352	718577	Cgl0700	30079.63035
721449	720544	Cgl0701	2770.253938
721777	722844	Cgl0702	381.4426576
723338	722922	Cgl0703	1184.8163
723412	725562	Cgl0704	2027.612786
726462	725869	Cgl0705	5352.982994
726715	726467	Cgl0706	3827.212363
728352	726739	Cgl0707	26563.53882
730324	728693	Cgl0708	16186.80686
730436	731302	Cgl0709	986.6365948
731312	731800	Cgl0710	540.1995179
731857	733020	Cgl0711	1726.0813
733072	734946	Cgl0712	570.0330218
734984	735343	Cgl0713	287.6802166
735402	735899	Cgl0714	1040.976191
735899	736354	Cgl0715	788.45689
736413	737207	Cgl0716	712.8076479
738529	737213	Cgl0717	57.53604333
740172	738670	Cgl0718	1528.967077
741016	740225	Cgl0719	3968.921507
741397	741768	Cgl0720	1176.292441
742384	741815	Cgl0721	332.4304725
742409	742831	Cgl0722	239.7335139
743052	742828	Cgl0723	242.9299607
743900	743064	Cgl0724	2386.680316
744931	743897	Cgl0725	2516.669154
745513	745043	Cgl0726	751.1650101
746893	745619	Cgl0727	24174.72754
748020	748445	Cgl0728	18.11319882
748026	747028	Cgl0729	2265.215335
748446	748817	Cgl0730	5.327411419
753685	748883	Cgl0731	1322.263514
757395	753694	Cgl0732	1573.717333
758262	757627	Cgl0733	713.8731302
760796	758361	Cgl0734	2494.294026
762468	760903	Cgl0735	997.2914176
762977	762579	Cgl0736	198.1797048
769443	763234	Cgl0737	2987.612324
774142	769544	Cgl0738	4224.637255
777035	774147	Cgl0739	2203.417363
